#DISTANCE:      BLOCK_NUMBER:        AVE_POFV:
        5.59           5           0
        5.72           5           0
        5.85           5           0
        5.98           5           0
        6.11           5           0
        6.24           5           0
        6.37           5           0
         6.5           5           0
        6.63           5           0
        6.76           5           0
        6.89           5           0
        7.02           5           0
        7.15           5           0
        7.28           5           0
        7.41           5           0
        7.54           5           0
        7.67           5           0
           0           6  0.00409544
        0.13           6    0.022151
        0.26           6   0.0728632
        0.39           6    0.132977
        0.52           6    0.216667
        0.65           6    0.288889
        0.78           6    0.374715
        0.91           6    0.471047
        1.04           6    0.501211
        1.17           6    0.519444
         1.3           6    0.531517
        1.43           6    0.560328
        1.56           6    0.547507
        1.69           6    0.503953
        1.82           6    0.490028
        1.95           6    0.458191
        2.08           6    0.412536
        2.21           6    0.335007
        2.34           6    0.275819
        2.47           6    0.224751
         2.6           6    0.171652
        2.73           6    0.149288
        2.86           6    0.114744
        2.99           6   0.0848647
        3.12           6   0.0558761
        3.25           6   0.0526353
        3.38           6   0.0360755
        3.51           6   0.0267806
        3.64           6    0.016916
        3.77           6   0.0135684
         3.9           6  0.00762108
        4.03           6  0.00854701
        4.16           6  0.00637464
        4.29           6  0.00366809
        4.42           6           0
        4.55           6           0
        4.68           6           0
        4.81           6           0
        4.94           6           0
        5.07           6           0
         5.2           6           0
        5.33           6           0
        5.46           6           0
        5.59           6           0
        5.72           6           0
        5.85           6           0
        5.98           6           0
        6.11           6           0
        6.24           6           0
        6.37           6           0
         6.5           6           0
        6.63           6           0
        6.76           6           0
        6.89           6           0
        7.02           6           0
        7.15           6           0
        7.28           6           0
        7.41           6           0
        7.54           6           0
        7.67           6           0
           0           7  0.00544872
        0.13           7   0.0208333
        0.26           7   0.0668447
        0.39           7    0.162144
        0.52           7    0.224893
        0.65           7    0.283369
        0.78           7    0.347721
        0.91           7    0.423433
        1.04           7    0.470513
        1.17           7    0.545014
         1.3           7      0.5625
        1.43           7    0.555306
        1.56           7     0.56656
        1.69           7    0.535185
        1.82           7     0.48255
        1.95           7    0.429808
        2.08           7    0.377991
        2.21           7    0.315563
        2.34           7    0.269907
        2.47           7     0.24505
         2.6           7    0.187179
        2.73           7    0.163889
        2.86           7    0.120869
        2.99           7    0.102493
        3.12           7   0.0818732
        3.25           7   0.0483974
        3.38           7   0.0378561
        3.51           7   0.0228989
        3.64           7   0.0140313
        3.77           7  0.00890313
         3.9           7  0.00505698
        4.03           7  0.00395299
        4.16           7  0.00245726
        4.29           7  0.00131766
        4.42           7 0.000498575
        4.55           7           0
        4.68           7           0
        4.81           7           0
        4.94           7           0
        5.07           7           0
         5.2           7           0
        5.33           7           0
        5.46           7           0
        5.59           7           0
        5.72           7           0
        5.85           7           0
        5.98           7           0
        6.11           7           0
        6.24           7           0
        6.37           7           0
         6.5           7           0
        6.63           7           0
        6.76           7           0
        6.89           7           0
        7.02           7           0
        7.15           7           0
        7.28           7           0
        7.41           7           0
        7.54           7           0
        7.67           7           0
           0           8  0.00345442
        0.13           8   0.0293091
        0.26           8   0.0762821
        0.39           8     0.15089
        0.52           8    0.208155
        0.65           8    0.290634
        0.78           8    0.375285
        0.91           8    0.428098
        1.04           8     0.49886
        1.17           8    0.544729
         1.3           8     0.56015
        1.43           8    0.549537
        1.56           8    0.566809
        1.69           8    0.527137
        1.82           8    0.485826
        1.95           8    0.466916
        2.08           8    0.391061
        2.21           8    0.324644
        2.34           8    0.272044
        2.47           8    0.202849
         2.6           8    0.177279
        2.73           8    0.137856
        2.86           8   0.0990741
        2.99           8   0.0915954
        3.12           8   0.0785969
        3.25           8   0.0579772
        3.38           8   0.0357194
        3.51           8   0.0241097
        3.64           8    0.012037
        3.77           8  0.00997151
         3.9           8  0.00619658
        4.03           8  0.00541311
        4.16           8  0.00281339
        4.29           8 0.000997151
        4.42           8           0
        4.55           8           0
        4.68           8           0
        4.81           8           0
        4.94           8           0
        5.07           8           0
         5.2           8           0
        5.33           8           0
        5.46           8           0
        5.59           8           0
        5.72           8           0
        5.85           8           0
        5.98           8           0
        6.11           8           0
        6.24           8           0
        6.37           8           0
         6.5           8           0
        6.63           8           0
        6.76           8           0
        6.89           8           0
        7.02           8           0
        7.15           8           0
        7.28           8           0
        7.41           8           0
        7.54           8           0
        7.67           8           0
           0           9  0.00302707
        0.13           9   0.0190527
        0.26           9   0.0719729
        0.39           9    0.140563
        0.52           9    0.203561
        0.65           9    0.298362
        0.78           9    0.356909
        0.91           9    0.419231
        1.04           9    0.482443
        1.17           9    0.506517
         1.3           9    0.536859
        1.43           9    0.579095
        1.56           9    0.541987
        1.69           9    0.530662
        1.82           9    0.511823
        1.95           9    0.448041
        2.08           9    0.411289
        2.21           9    0.359758
        2.34           9    0.285613
        2.47           9    0.253312
         2.6           9    0.199217
        2.73           9    0.149145
        2.86           9    0.106838
        2.99           9   0.0782764
        3.12           9   0.0609687
        3.25           9   0.0412749
        3.38           9    0.028953
        3.51           9   0.0225783
        3.64           9   0.0146011
        3.77           9   0.0104345
         3.9           9  0.00605413
        4.03           9  0.00210114
        4.16           9  0.00185185
        4.29           9  0.00124644
        4.42           9  0.00103276
        4.55           9  0.00213675
        4.68           9 0.000605413
        4.81           9 0.000213675
        4.94           9 0.000178063
        5.07           9   0.0002849
         5.2           9 0.000356125
        5.33           9   0.0025641
        5.46           9  0.00131766
        5.59           9           0
        5.72           9           0
        5.85           9           0
        5.98           9           0
        6.11           9           0
        6.24           9           0
        6.37           9           0
         6.5           9           0
        6.63           9           0
        6.76           9           0
        6.89           9           0
        7.02           9           0
        7.15           9           0
        7.28           9           0
        7.41           9           0
        7.54           9           0
        7.67           9           0
           0          10  0.00430912
        0.13          10   0.0237536
        0.26          10   0.0527066
        0.39          10    0.114459
        0.52          10    0.190598
        0.65          10    0.263853
        0.78          10    0.363746
        0.91          10    0.423718
        1.04          10    0.510399
        1.17          10    0.534295
         1.3          10    0.550392
        1.43          10    0.538355
        1.56          10    0.558654
        1.69          10    0.533832
        1.82          10    0.526389
        1.95          10    0.505164
        2.08          10    0.414138
        2.21          10    0.305377
        2.34          10    0.265776
        2.47          10    0.234615
         2.6          10    0.213711
        2.73          10    0.151781
        2.86          10    0.126816
        2.99          10   0.0792735
        3.12          10   0.0672721
        3.25          10   0.0446937
        3.38          10   0.0320869
        3.51          10   0.0189103
        3.64          10   0.0144231
        3.77          10  0.00961538
         3.9          10  0.00608974
        4.03          10  0.00651709
