#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
     1.71853           3    0.705102
     1.74418           3    0.693227
     1.76983           3     0.70784
     1.79547           3    0.729202
     1.82112           3    0.783136
     1.84677           3    0.813091
     1.87242           3    0.843703
     1.89807           3    0.888763
     1.92372           3    0.945967
     1.94937           3    0.983408
     1.97502           3     1.02966
     2.00067           3     1.07697
     2.02632           3     1.08722
     2.05197           3     1.13902
     2.07762           3       1.136
     2.10327           3     1.12449
     2.12892           3     1.10464
     2.15457           3     1.10147
     2.18022           3     1.07749
     2.20587           3     1.04209
     2.23152           3     1.04033
     2.25717           3     1.04156
     2.28282           3      1.0301
     2.30847           3    0.976227
     2.33412           3    0.978761
     2.35977           3    0.971192
     2.38542           3    0.933423
     2.41107           3    0.923588
     2.43672           3    0.900547
     2.46237           3    0.896316
     2.48802           3    0.866404
     2.51366           3     0.85402
     2.53931           3    0.842751
           0           4           0
   0.0256496           4           0
   0.0512993           4           0
   0.0769489           4           0
    0.102599           4           0
    0.128248           4           0
    0.153898           4           0
    0.179547           4           0
    0.205197           4           0
    0.230847           4           0
    0.256496           4           0
    0.282146           4           0
    0.307796           4           0
    0.333445           4           0
    0.359095           4           0
    0.384745           4           0
    0.410394           4           0
    0.436044           4           0
    0.461694           4           0
    0.487343           4           0
    0.512993           4           0
    0.538642           4           0
    0.564292           4           0
    0.589942           4           0
    0.615591           4           0
    0.641241           4           0
    0.666891           4           0
     0.69254           4           0
     0.71819           4           0
     0.74384           4           0
    0.769489           4           0
    0.795139           4           0
    0.820788           4           0
    0.846438           4           0
    0.872088           4           0
    0.897737           4  0.00190546
    0.923387           4   0.0181887
    0.949037           4    0.159276
    0.974686           4    0.520749
     1.00034           4     1.09514
     1.02599           4     1.70305
     1.05164           4     2.17926
     1.07728           4     2.45295
     1.10293           4     2.33764
     1.12858           4     2.24691
     1.15423           4     2.07426
     1.17988           4     1.88701
     1.20553           4     1.69291
     1.23118           4     1.49628
     1.25683           4      1.2845
     1.28248           4     1.19842
     1.30813           4     1.06617
     1.33378           4    0.978299
     1.35943           4    0.884064
     1.38508           4    0.811955
     1.41073           4    0.777431
     1.43638           4    0.692983
     1.46203           4    0.657682
     1.48768           4    0.657781
     1.51333           4    0.650195
     1.53898           4    0.630266
     1.56463           4    0.623313
     1.59028           4    0.629557
     1.61593           4    0.624246
     1.64158           4    0.633574
     1.66723           4    0.627684
     1.69288           4     0.67452
     1.71853           4    0.699412
     1.74418           4    0.714466
     1.76983           4    0.754122
     1.79547           4    0.769503
     1.82112           4    0.782581
     1.84677           4    0.820713
     1.87242           4    0.850705
     1.89807           4    0.877582
     1.92372           4    0.937225
     1.94937           4    0.977616
     1.97502           4     1.01621
     2.00067           4     1.05696
     2.02632           4     1.10567
     2.05197           4      1.1017
     2.07762           4     1.09989
     2.10327           4     1.14251
     2.12892           4      1.1421
     2.15457           4      1.1318
     2.18022           4     1.12462
     2.20587           4     1.10798
     2.23152           4      1.1046
     2.25717           4     1.06222
     2.28282           4     1.00451
     2.30847           4    0.995339
     2.33412           4    0.944849
     2.35977           4    0.923031
     2.38542           4    0.903431
     2.41107           4    0.889918
     2.43672           4    0.879632
     2.46237           4    0.864051
     2.48802           4    0.834568
     2.51366           4     0.82366
     2.53931           4    0.810004
           0           5           0
   0.0256496           5           0
   0.0512993           5           0
   0.0769489           5           0
    0.102599           5           0
    0.128248           5           0
    0.153898           5           0
    0.179547           5           0
    0.205197           5           0
    0.230847           5           0
    0.256496           5           0
    0.282146           5           0
    0.307796           5           0
    0.333445           5           0
    0.359095           5           0
    0.384745           5           0
    0.410394           5           0
    0.436044           5           0
    0.461694           5           0
    0.487343           5           0
    0.512993           5           0
    0.538642           5           0
    0.564292           5           0
    0.589942           5           0
    0.615591           5           0
    0.641241           5           0
    0.666891           5           0
     0.69254           5           0
     0.71819           5           0
     0.74384           5           0
    0.769489           5           0
    0.795139           5           0
    0.820788           5           0
    0.846438           5           0
