#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169    0.786453     1.22903    0.036393
         170    0.782296      1.2264   0.0362737
         171    0.778446     1.22378   0.0361561
         172    0.774962     1.22117   0.0360399
         173    0.771906     1.21857    0.035925
         174    0.769341     1.21599   0.0358112
         175     0.76733     1.21343   0.0356982
         176    0.765938     1.21089   0.0355858
         177    0.765232     1.20837   0.0354737
         178    0.765275     1.20588   0.0353617
         179    0.766122     1.20342   0.0352493
         180    0.767827       1.201   0.0351365
         181     0.77044     1.19862   0.0350228
         182       0.774     1.19629    0.034908
         183    0.778543     1.19401   0.0347918
         184    0.784095     1.19178    0.034674
         185    0.790671     1.18961   0.0345542
         186     0.79828     1.18751   0.0344325
         187     0.80692     1.18547   0.0343084
         188    0.816577     1.18351    0.034182
         189    0.827231     1.18162   0.0340531
         190    0.838851     1.17982   0.0339216
         191    0.851396      1.1781   0.0337876
         192    0.864823     1.17647    0.033651
         193    0.879075     1.17493   0.0335119
         194    0.894086     1.17348   0.0333704
         195     0.90979     1.17213   0.0332266
         196    0.926115     1.17087   0.0330808
         197    0.942976     1.16972   0.0329331
         198    0.960289     1.16866   0.0327838
         199     0.97797      1.1677    0.032633
         200     0.99593     1.16684   0.0324812
         201     1.01408     1.16608   0.0323285
         202     1.03234     1.16542   0.0321752
         203     1.05062     1.16485   0.0320217
         204     1.06884     1.16438   0.0318681
         205     1.08692     1.16401   0.0317149
         206     1.10477     1.16372   0.0315623
         207     1.12233     1.16352   0.0314104
         208     1.13952      1.1634   0.0312596
         209     1.15629     1.16337   0.0311101
         210     1.17257     1.16341    0.030962
         211     1.18832     1.16353   0.0308155
         212      1.2035     1.16372   0.0306707
         213     1.21806     1.16397   0.0305278
         214     1.23197     1.16429   0.0303868
         215     1.24521     1.16467   0.0302477
         216     1.25776      1.1651   0.0301108
         217      1.2696     1.16558   0.0299759
         218     1.28073     1.16611    0.029843
         219     1.29114     1.16668   0.0297122
         220     1.30084     1.16729   0.0295834
         221     1.30981     1.16794   0.0294566
         222     1.31809     1.16861   0.0293317
         223     1.32566     1.16932   0.0292086
         224     1.33257     1.17004   0.0290873
         225      1.3388     1.17079   0.0289677
         226      1.3444     1.17156   0.0288497
         227     1.34937     1.17235   0.0287332
         228     1.35375     1.17314   0.0286182
         229     1.35756     1.17395   0.0285046
         230     1.36081     1.17476   0.0283922
         231     1.36355     1.17558   0.0282811
         232     1.36579      1.1764    0.028171
         233     1.36757     1.17722   0.0280621
         234     1.36892     1.17804   0.0279541
         235     1.36986     1.17885   0.0278471
         236     1.37042     1.17966   0.0277409
         237     1.37064     1.18047   0.0276356
         238     1.37054     1.18127    0.027531
         239     1.37014     1.18206   0.0274271
         240     1.36948     1.18284    0.027324
         241     1.36858     1.18361   0.0272215
         242     1.36748     1.18437   0.0271196
         243     1.36619     1.18512   0.0270183
         244     1.36473     1.18585   0.0269176
         245     1.36313     1.18658   0.0268174
         246     1.36141     1.18729   0.0267178
         247     1.35958     1.18799   0.0266188
         248     1.35767     1.18867   0.0265202
         249     1.35569     1.18934   0.0264222
         250     1.35365        1.19   0.0263247
         251     1.35157     1.19064   0.0262277
         252     1.34946     1.19127   0.0261312
         253     1.34733     1.19189   0.0260352
         254     1.34519     1.19249   0.0259397
         255     1.34303     1.19308   0.0258447
         256     1.34087     1.19366   0.0257501
         257     1.33872     1.19423   0.0256561
         258     1.33657     1.19478   0.0255626
         259     1.33442     1.19532   0.0254696
         260     1.33227     1.19584   0.0253771
         261     1.33013     1.19636   0.0252851
         262     1.32798     1.19686   0.0251936
         263     1.32583     1.19735   0.0251025
         264     1.32368     1.19783    0.025012
         265     1.32153      1.1983    0.024922
         266     1.31938     1.19875   0.0248325
         267     1.31722     1.19919   0.0247434
         268     1.31505     1.19963   0.0246549
         269     1.31287     1.20005   0.0245668
         270     1.31067     1.20046   0.0244792
         271     1.30845     1.20086   0.0243921
         272     1.30622     1.20124   0.0243055
         273     1.30397     1.20162   0.0242194
         274     1.30171     1.20198   0.0241338
         275     1.29944     1.20234   0.0240486
         276     1.29716     1.20268    0.023964
         277     1.29488     1.20302   0.0238798
         278     1.29258     1.20334    0.023796
         279     1.29029     1.20365   0.0237128
         280     1.28801     1.20395     0.02363
         281     1.28574     1.20424   0.0235477
         282     1.28348     1.20452   0.0234659
         283     1.28124     1.20479   0.0233845
         284     1.27903     1.20506   0.0233036
         285     1.27684     1.20531   0.0232232
         286     1.27467     1.20555   0.0231433
         287     1.27254     1.20578   0.0230638
         288     1.27045     1.20601   0.0229849
         289      1.2684     1.20622   0.0229063
         290     1.26638     1.20643   0.0228283
         291     1.26441     1.20663   0.0227507
         292     1.26247     1.20682   0.0226736
