#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59371     1.59371           0
           2     1.59694     1.59532  0.00113928
           3     1.59729     1.59598 0.000929246
           4     1.59725      1.5963 0.000749138
           5     1.59737     1.59651 0.000629444
           6     1.59713     1.59662 0.000532937
           7     1.59704     1.59668 0.000460258
           8     1.59715     1.59674 0.000406436
           9     1.59706     1.59677 0.000362906
          10     1.59726     1.59682 0.000329817
          11     1.59726     1.59686 0.000302265
          12     1.59728      1.5969 0.000279053
          13     1.59726     1.59692 0.000259022
          14     1.59724     1.59695 0.000241512
          15     1.59726     1.59697 0.000226332
          16     1.59708     1.59697 0.000212298
          17     1.59731     1.59699 0.000200745
          18     1.59734     1.59701  0.00019049
          19     1.59717     1.59702 0.000180652
          20     1.59701     1.59702  0.00017162
           1     1.59696     1.59696           0
           2     1.59729     1.59713 0.000119631
           3     1.59733     1.59719 9.78675e-05
           4     1.59726     1.59721 7.46799e-05
           5     1.59712     1.59719 6.16942e-05
           6     1.59723      1.5972 5.16412e-05
           7     1.59732     1.59722 4.70759e-05
           8      1.5973     1.59723 4.24661e-05
           9     1.59723     1.59723 3.77512e-05
          10     1.59716     1.59722 3.46646e-05
          11     1.59723     1.59722  3.1523e-05
          12     1.59721     1.59722 2.89068e-05
          13     1.59732     1.59723 2.76085e-05
          14      1.5974     1.59724 2.83198e-05
          15     1.59729     1.59724 2.65978e-05
          16     1.59724     1.59724 2.49355e-05
          17     1.59724     1.59724 2.34689e-05
          18     1.59718     1.59724 2.24269e-05
          19     1.59705     1.59723 2.33756e-05
          20     1.59714     1.59723 2.26674e-05
