#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.20925    -1.20925           0
           2   -0.620611   -0.914931    0.208116
           3   -0.488785   -0.772882    0.180836
           4   -0.437989   -0.689159    0.153792
           5    -0.40952   -0.633231    0.132814
           6   -0.395911   -0.593678    0.116419
           7   -0.414528   -0.568085    0.102562
           8   -0.375559   -0.544019   0.0925225
           9   -0.363243   -0.523933   0.0843944
          10    -0.38697   -0.510237   0.0770583
          11   -0.432579   -0.503177   0.0703756
          12   -0.370565   -0.492126   0.0653729
          13   -0.354074   -0.481507   0.0612007
          14   -0.362669   -0.473018   0.0574148
          15   -0.358241   -0.465366   0.0540947
          16   -0.387803   -0.460519   0.0509305
          17   -0.389079   -0.456316   0.0481077
          18   -0.369259    -0.45148   0.0456775
          19   -0.390183   -0.448254   0.0433872
          20    -0.46108   -0.448895   0.0412226
           1   -0.460003   -0.460003           0
           2   -0.372676    -0.41634   0.0308747
           3   -0.342033   -0.391571    0.028856
           4    -0.39716   -0.392968   0.0216758
           5   -0.393678    -0.39311   0.0173411
           6    -0.42547   -0.398503   0.0152666
           7   -0.410159   -0.400169   0.0131762
           8   -0.390128   -0.398914   0.0115888
           9   -0.394053   -0.398374   0.0103137
          10   -0.398837    -0.39842  0.00928243
          11   -0.354505   -0.394428  0.00925736
          12   -0.369456   -0.392347  0.00871666
          13   -0.402365   -0.393117  0.00808015
          14   -0.347888   -0.389887  0.00812321
          15   -0.372564   -0.388732  0.00766332
          16   -0.417027     -0.3905   0.0073856
          17   -0.373257   -0.389486  0.00702045
          18   -0.378819   -0.388893  0.00665539
          19   -0.392342   -0.389075  0.00630759
          20    -0.39966   -0.389604  0.00601437
