#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.80297     2.80297           0
           2     2.21755     2.51026    0.206977
           3     2.08608     2.36886     0.17991
           4     2.03524     2.28546     0.15305
           5     2.00689     2.22974    0.132192
           6     1.99304     2.19029    0.115897
           7     2.01157     2.16476    0.102114
           8      1.9727     2.14075   0.0921285
           9     1.96031     2.12071   0.0840454
          10     1.98423     2.10706    0.076741
          11     2.02984     2.10004   0.0700848
          12     1.96784     2.08902   0.0651045
          13     1.95134     2.07843   0.0609518
          14     1.95991     2.06996    0.057183
          15      1.9555     2.06233   0.0538775
          16     1.98488     2.05749   0.0507272
          17     1.98639     2.05331   0.0479153
          18      1.9666     2.04849   0.0454949
          19     1.98736     2.04528   0.0432141
          20     2.05809     2.04592   0.0410581
           1     2.05696     2.05696           0
           2     1.96997     2.01346   0.0307551
           3     1.93937     1.98877   0.0287593
           4     1.99442     1.99018   0.0216042
           5      1.9908      1.9903   0.0172837
           6      2.0227      1.9957   0.0152229
           7     2.00748     1.99738   0.0131409
           8     1.98743     1.99614    0.011557
           9     1.99129      1.9956   0.0102855
          10     1.99599     1.99564  0.00925699
          11     1.95173     1.99165  0.00923597
          12     1.96667     1.98957  0.00869775
          13     1.99968     1.99035  0.00806342
          14     1.94529     1.98713  0.00810426
          15     1.96985     1.98598  0.00764538
          16     2.01427     1.98774  0.00736923
          17      1.9705     1.98673  0.00700519
          18       1.976     1.98613  0.00664133
          19     1.98939      1.9863    0.006294
          20      1.9968     1.98683  0.00600112
