#DISTANCE:      BLOCK_NUMBER:        ACTUAL_POFV:         AVE_POFV:        ERROR:
     4.53333           3   0.0190278    0.024375  0.00409961
     4.66667           3   0.0101389   0.0140625  0.00162178
         4.8           3   0.0124653   0.0105787 0.000909038
     4.93333           3           0  0.00216435  0.00176719
     5.06667           3           0 0.000451389 0.000368557
         5.2           3           0 0.000451389 0.000368557
     5.33333           3           0           0           0
     5.46667           3           0           0           0
         5.6           3           0           0           0
     5.73333           3           0           0           0
     5.86667           3           0           0           0
           6           3           0           0           0
     6.13333           3           0           0           0
     6.26667           3           0           0           0
         6.4           3           0           0           0
     6.53333           3           0           0           0
     6.66667           3           0           0           0
         6.8           3           0           0           0
     6.93333           3           0           0           0
     7.06667           3           0           0           0
         7.2           3           0           0           0
     7.33333           3           0           0           0
     7.46667           3           0           0           0
         7.6           3           0           0           0
     7.73333           3           0           0           0
     7.86667           3           0           0           0
           0           4  0.00420139  0.00494792 0.000934481
    0.133333           4   0.0260417    0.038316    0.019101
    0.266667           4   0.0628819   0.0555816   0.0156435
         0.4           4    0.111632   0.0728472   0.0130326
    0.533333           4    0.121007   0.0963542   0.0150613
    0.666667           4    0.229028    0.165955   0.0227092
         0.8           4    0.278889    0.233438   0.0222136
    0.933333           4    0.366389    0.333481     0.02566
     1.06667           4    0.418021    0.337222   0.0314697
         1.2           4    0.424514    0.373542   0.0237331
     1.33333           4    0.497222    0.406545    0.037145
     1.46667           4    0.489931     0.43059   0.0293767
         1.6           4    0.528125    0.461493   0.0441954
     1.73333           4    0.473681    0.501502   0.0410015
     1.86667           4    0.491493    0.482491   0.0433834
           2           4    0.547917    0.488238   0.0305895
     2.13333           4    0.429167    0.473342   0.0335252
     2.26667           4    0.410868    0.438828  0.00815834
         2.4           4    0.214653    0.352535   0.0673412
     2.53333           4    0.315278    0.412023   0.0581719
     2.66667           4    0.242326    0.260104   0.0482225
         2.8           4    0.167257    0.229826   0.0311423
     2.93333           4   0.0877083    0.189071   0.0452042
     3.06667           4   0.0847917    0.135668   0.0260615
         3.2           4    0.152222    0.130365   0.0168253
     3.33333           4   0.0473958   0.0649306   0.0131106
     3.46667           4    0.131632   0.0778385    0.023222
         3.6           4   0.0254861   0.0640799   0.0156598
     3.73333           4   0.0180208   0.0304601  0.00842224
     3.86667           4   0.0127778   0.0277604  0.00735229
           4           4   0.0115278   0.0129601  0.00431257
     4.13333           4        0.01   0.0215451  0.00732106
     4.26667           4  0.00163194   0.0165712  0.00713225
         4.4           4 0.000520833   0.0240451  0.00973395
     4.53333           4 0.000590278   0.0184288  0.00599763
     4.66667           4  0.00402778   0.0115538  0.00248989
         4.8           4   0.0100694   0.0104514 0.000690636
     4.93333           4   0.0230903  0.00739583  0.00472048
     5.06667           4   0.0170486  0.00460069  0.00360402
         5.2           4  0.00704861  0.00210069  0.00145484
     5.33333           4  0.00368056 0.000920139 0.000796864
     5.46667           4 0.000208333 5.20833e-05 4.51055e-05
         5.6           4           0           0           0
     5.73333           4           0           0           0
     5.86667           4           0           0           0
           6           4           0           0           0
     6.13333           4           0           0           0
     6.26667           4           0           0           0
         6.4           4           0           0           0
     6.53333           4           0           0           0
     6.66667           4           0           0           0
         6.8           4           0           0           0
     6.93333           4           0           0           0
     7.06667           4           0           0           0
         7.2           4           0           0           0
     7.33333           4           0           0           0
     7.46667           4           0           0           0
         7.6           4           0           0           0
     7.73333           4           0           0           0
     7.86667           4           0           0           0
           0           5  0.00836806  0.00563194 0.000966022
    0.133333           5   0.0270139   0.0360556    0.015414
    0.266667           5   0.0342014   0.0513056   0.0130861
