# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00608681  0.00286801
    0.133333   0.0229045  0.00455213
    0.266667   0.0519063  0.00595807
         0.4   0.0836875  0.00605288
    0.533333    0.141826  0.00985351
    0.666667    0.218457   0.0138957
         0.8    0.307785   0.0140671
    0.933333    0.397863   0.0168491
     1.06667     0.39155   0.0166883
         1.2    0.413394    0.013098
     1.33333    0.472717   0.0180625
     1.46667    0.459594   0.0137973
         1.6     0.48625   0.0168213
     1.73333    0.508052   0.0181396
     1.86667    0.490707    0.017735
           2    0.455186   0.0209076
     2.13333    0.409047   0.0218995
     2.26667    0.396837   0.0185831
         2.4    0.314899   0.0218192
     2.53333    0.287165   0.0207086
     2.66667    0.255979   0.0193696
         2.8    0.202498   0.0114327
     2.93333    0.173899   0.0136253
     3.06667    0.130627   0.0102754
         3.2    0.118307   0.0108032
     3.33333   0.0853924  0.00903888
     3.46667   0.0631459  0.00686446
         3.6   0.0532483    0.007238
     3.73333   0.0300781  0.00455196
     3.86667   0.0156163  0.00317215
           4   0.0128281    0.003757
     4.13333   0.0123993  0.00361634
     4.26667  0.00476389   0.0020436
         4.4  0.00611285   0.0028788
     4.53333  0.00832118   0.0032946
     4.66667  0.00354167  0.00121217
         4.8  0.00393923  0.00124239
     4.93333  0.00185417  0.00114663
     5.06667 0.000920138 0.000829993
         5.2 0.000420139 0.000346361
     5.33333 0.000184028 0.000179368
     5.46667 1.04166e-05 1.01529e-05
         5.6           0           0
     5.73333           0           0
     5.86667           0           0
           6           0           0
     6.13333           0           0
     6.26667           0           0
         6.4           0           0
     6.53333           0           0
     6.66667           0           0
         6.8           0           0
     6.93333           0           0
     7.06667           0           0
         7.2           0           0
     7.33333           0           0
     7.46667           0           0
         7.6           0           0
     7.73333           0           0
     7.86667           0           0
