#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.86864     1.86864           0
           2     1.47836      1.6735    0.137984
           3     1.39072     1.57924     0.11994
           4     1.35683     1.52364    0.102033
           5     1.33793      1.4865   0.0881278
           6      1.3287      1.4602   0.0772646
           7     1.34105     1.44317   0.0680759
           8     1.31514     1.42717    0.061419
           9     1.30687      1.4138   0.0560302
          10     1.32282      1.4047   0.0511606
          11     1.35323     1.40002   0.0467232
          12     1.31189     1.39268    0.043403
          13     1.30089     1.38562   0.0406345
          14     1.30661     1.37998    0.038122
          15     1.30367     1.37489   0.0359184
          16     1.32326     1.37166   0.0338181
          17     1.32426     1.36887   0.0319436
          18     1.31106     1.36566   0.0303299
          19      1.3249     1.36352   0.0288094
          20     1.37206     1.36394   0.0273721
           1     1.37131     1.37131           0
           2     1.31331     1.34231   0.0205034
           3     1.29291     1.32584   0.0191729
           4     1.32961     1.32679   0.0144028
           5      1.3272     1.32687   0.0115225
           6     1.34846     1.33047   0.0101486
           7     1.33832     1.33159  0.00876058
           8     1.32495     1.33076  0.00770466
           9     1.32752      1.3304  0.00685698
          10     1.33066     1.33043  0.00617133
          11     1.30116     1.32777  0.00615731
          12     1.31111     1.32638   0.0057985
          13     1.33312      1.3269  0.00537561
          14     1.29686     1.32475  0.00540284
          15     1.31323     1.32398  0.00509692
          16     1.34285     1.32516  0.00491282
          17     1.31367     1.32449  0.00467012
          18     1.31733     1.32409  0.00442755
          19     1.32626      1.3242    0.004196
          20      1.3312     1.32455  0.00400075
