0 69.5684 68.8809
10 19.7169 24.9456
20 11.8667 15.0266
30 8.37095 10.0807
40 6.11985 7.72123
50 5.04123 5.94006
60 3.73051 5.34879
70 3.1088 5.17557
80 2.91393 3.34347
90 2.68384 3.15284
100 2.55633 3.0646
110 2.36836 3.13105
120 2.10438 2.42876
130 2.10438 2.40856
140 2.10438 2.34377
150 2.10438 2.35772
160 2.10096 2.8294
170 2.10096 2.43912
180 2.10096 2.44844
190 2.10096 2.47015
200 2.10096 2.47935
210 2.10096 2.81263
220 2.10096 2.6677
230 2.10096 2.55323
240 2.10096 2.63831
250 2.10096 2.65076
260 2.10096 2.51412
270 2.10096 2.38247
280 2.10096 2.19794
290 2.10096 2.35446
300 2.10096 2.61062
310 2.10096 2.47786
320 2.10096 2.67796
330 2.10096 2.30336
340 2.10096 2.43279
350 2.10096 2.48323
360 2.10096 2.57078
370 2.10096 2.69029
380 2.10096 2.36283
390 2.10096 2.53284
399 2.10096 2.55754
