0 12.3842 11.9891
10 4.53916 5.32306
20 3.36222 3.99085
30 2.48124 2.85279
40 2.13839 2.35629
50 1.73271 2.08491
60 1.5777 1.77225
70 1.22618 1.49935
80 1.16002 1.23884
90 1.15875 1.23393
100 1.09836 1.25171
110 1.08659 1.26277
120 1.08659 1.16291
130 1.05972 1.14345
140 1.05762 1.12084
150 1.05372 1.1152
160 1.04765 1.17903
170 1.04765 1.1087
180 1.04765 1.12829
190 1.04765 1.13687
200 1.04765 1.11623
210 1.04765 1.20444
220 1.04765 1.1662
230 1.04765 1.13227
240 1.04765 1.12951
250 1.04765 1.1551
260 1.04765 1.13711
270 1.04765 1.12803
280 1.04765 1.07448
290 1.04765 1.11718
300 1.04765 1.16333
310 1.04765 1.1243
320 1.04765 1.14594
330 1.04765 1.09788
340 1.04765 1.12537
350 1.04765 1.1289
360 1.04765 1.14176
370 1.04765 1.15352
380 1.04765 1.12037
390 1.04765 1.14713
399 1.04765 1.13434
