# Temperature: Heat Capacity:      Error: 
0.5    0.198859  0.00557389
0.65    0.380745  0.00208729
0.8    0.429446   0.0010377
0.95    0.419766 0.000586879
1.1    0.388959 0.000386179
1.25    0.350867 0.000245732
1.4    0.311951 0.000133079
1.55    0.276186 0.000127362
1.7     0.24442 9.80957e-05
1.85    0.216685 7.10541e-05
2    0.192579 5.20231e-05
