# Temperature: Magnetization:      Error: 
0.5     0.89919   0.0083578
0.65    0.552794  0.00934172
0.8    0.293244  0.00513003
0.95    0.170727   0.0033669
1.1    0.108977   0.0023262
1.25   0.0800938  0.00167634
1.4   0.0590518  0.00113536
1.55   0.0460341  0.00115352
1.7   0.0380101  0.00107547
1.85   0.0322811 0.000859501
2   0.0279462 0.000729382
