#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         172          -1   -0.968837  0.00448303
         173          -1   -0.969017  0.00446074
         174          -1   -0.969195  0.00443865
         175          -1   -0.969371  0.00441678
         176          -1   -0.969545  0.00439511
         177          -1   -0.969718  0.00437365
         178          -1   -0.969888  0.00435238
         179          -1   -0.970056  0.00433132
         180          -1   -0.970222  0.00431045
         181          -1   -0.970387  0.00428977
         182          -1   -0.970549  0.00426929
         183          -1    -0.97071  0.00424899
         184          -1    -0.97087  0.00422888
         185          -1   -0.971027  0.00420895
         186          -1   -0.971183   0.0041892
         187          -1   -0.971337  0.00416963
         188          -1   -0.971489  0.00415024
         189          -1    -0.97164  0.00413102
         190          -1   -0.971789  0.00411198
         191          -1   -0.971937   0.0040931
         192          -1   -0.972083  0.00407439
         193          -1   -0.972228  0.00405585
         194          -1   -0.972371  0.00403747
         195          -1   -0.972513  0.00401925
         196          -1   -0.972653  0.00400119
         197          -1   -0.972792  0.00398328
         198          -1   -0.972929  0.00396553
         199          -1   -0.973065  0.00394794
         200          -1     -0.9732   0.0039305
         201          -1   -0.973333   0.0039132
         202          -1   -0.973465  0.00389606
         203          -1   -0.973596  0.00387906
         204          -1   -0.973725   0.0038622
         205          -1   -0.973854  0.00384549
         206          -1   -0.973981  0.00382891
         207          -1   -0.974106  0.00381248
         208          -1   -0.974231  0.00379618
         209          -1   -0.974354  0.00378002
         210          -1   -0.974476  0.00376399
         211          -1   -0.974597   0.0037481
         212          -1   -0.974717  0.00373233
         213          -1   -0.974836  0.00371669
         214          -1   -0.974953  0.00370119
         215          -1    -0.97507  0.00368581
         216          -1   -0.975185  0.00367055
         217          -1     -0.9753  0.00365541
         218          -1   -0.975413   0.0036404
         219          -1   -0.975525  0.00362551
         220          -1   -0.975636  0.00361074
         221          -1   -0.975747  0.00359608
         222          -1   -0.975856  0.00358154
         223          -1   -0.975964  0.00356712
         224          -1   -0.976071  0.00355281
         225          -1   -0.976178  0.00353861
         226          -1   -0.976283  0.00352452
         227          -1   -0.976388  0.00351054
         228          -1   -0.976491  0.00349667
         229          -1   -0.976594  0.00348291
         230          -1   -0.976696  0.00346925
         231          -1   -0.976797   0.0034557
         232          -1   -0.976897  0.00344225
         233          -1   -0.976996  0.00342891
         234          -1   -0.977094  0.00341566
         235          -1   -0.977191  0.00340252
         236          -1   -0.977288  0.00338947
         237          -1   -0.977384  0.00337652
         238          -1   -0.977479  0.00336367
         239          -1   -0.977573  0.00335092
         240          -1   -0.977667  0.00333826
         241          -1   -0.977759  0.00332569
         242          -1   -0.977851  0.00331322
         243          -1   -0.977942  0.00330084
         244          -1   -0.978033  0.00328855
         245          -1   -0.978122  0.00327635
         246          -1   -0.978211  0.00326424
         247          -1     -0.9783  0.00325221
         248          -1   -0.978387  0.00324028
         249          -1   -0.978474  0.00322843
         250          -1    -0.97856  0.00321666
         251          -1   -0.978645  0.00320498
         252          -1    -0.97873  0.00319338
         253          -1   -0.978814  0.00318187
         254          -1   -0.978898  0.00317043
         255          -1    -0.97898  0.00315908
         256          -1   -0.979063   0.0031478
         257          -1   -0.979144  0.00313661
         258          -1   -0.979225  0.00312549
         259          -1   -0.979305  0.00311446
         260          -1   -0.979385  0.00310349
         261          -1   -0.979464  0.00309261
         262          -1   -0.979542   0.0030818
         263          -1    -0.97962  0.00307106
         264          -1   -0.979697   0.0030604
         265          -1   -0.979774  0.00304981
         266          -1    -0.97985  0.00303929
         267          -1   -0.979925  0.00302885
         268          -1       -0.98  0.00301847
         269          -1   -0.980074  0.00300816
         270          -1   -0.980148  0.00299793
         271          -1   -0.980221  0.00298776
         272          -1   -0.980294  0.00297766
         273          -1   -0.980366  0.00296763
         274          -1   -0.980438  0.00295766
         275          -1   -0.980509  0.00294776
         276          -1    -0.98058  0.00293793
         277          -1    -0.98065  0.00292816
         278          -1   -0.980719  0.00291845
         279          -1   -0.980789  0.00290881
         280          -1   -0.980857  0.00289923
         281          -1   -0.980925  0.00288971
         282          -1   -0.980993  0.00288026
         283          -1    -0.98106  0.00287086
         284          -1   -0.981127  0.00286153
         285          -1   -0.981193  0.00285225
         286          -1   -0.981259  0.00284304
         287          -1   -0.981324  0.00283388
         288          -1   -0.981389  0.00282479
         289          -1   -0.981453  0.00281575
         290          -1   -0.981517  0.00280676
         291          -1   -0.981581  0.00279784
