#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.96544    -0.96544           0
           2   -0.979904   -0.972672   0.0051138
           3   -0.977944   -0.974429  0.00369884
           4   -0.970776   -0.973516  0.00288469
           5   -0.970416   -0.972896  0.00237345
           6   -0.967648   -0.972021  0.00213296
           7   -0.968104   -0.971462  0.00190025
           8   -0.975104   -0.971917  0.00171639
           9   -0.978152    -0.97261  0.00165961
          10   -0.970856   -0.972434  0.00150289
          11   -0.974816   -0.972651  0.00138177
          12    -0.97228    -0.97262  0.00126697
          13   -0.971472   -0.972532  0.00117258
          14    -0.96608   -0.972071   0.0011759
          15   -0.976048   -0.972336    0.001127
          16    -0.97548   -0.972533  0.00107356
          17    -0.97172   -0.972485  0.00101147
          18   -0.979664   -0.972884  0.00103092
          19   -0.977568    -0.97313  0.00100571
          20   -0.980616   -0.973504  0.00102271
          21   -0.978472   -0.973741  0.00100099
          22    -0.97764   -0.973918 0.000971055
          23     -0.9796   -0.974165 0.000959744
          24   -0.969328   -0.973964  0.00094068
          25   -0.971496   -0.973865 0.000908217
          26   -0.972536   -0.973814 0.000874723
          27   -0.977832   -0.973963 0.000854891
          28   -0.962504   -0.973553 0.000917095
          29   -0.973904   -0.973566 0.000885551
          30   -0.985112    -0.97395 0.000935943
          31    -0.97676   -0.974041 0.000910128
          32   -0.980344   -0.974238 0.000902749
          33   -0.984296   -0.974543 0.000925415
          34   -0.977752   -0.974637 0.000902998
          35   -0.962208   -0.974282 0.000944449
          36    -0.97104   -0.974192 0.000922498
          37   -0.978496   -0.974308  0.00090487
          38   -0.973368   -0.974284 0.000881395
          39   -0.971208   -0.974205 0.000862316
          40   -0.970824    -0.97412  0.00084489
          41   -0.975576   -0.974156 0.000825029
          42    -0.97476    -0.97417 0.000805511
          43   -0.973656   -0.974158 0.000786867
          44   -0.973192   -0.974136  0.00076929
          45   -0.977984   -0.974222 0.000756931
          46   -0.968344   -0.974094 0.000751184
          47   -0.978768   -0.974193 0.000741755
          48   -0.977024   -0.974252 0.000728642
          49   -0.970488   -0.974176  0.00071781
          50   -0.964216   -0.973976 0.000730569
           1   -0.912888   -0.912888           0
           2    -0.91392   -0.913404 0.000364867
           3   -0.920304   -0.915704  0.00189363
           4   -0.914432   -0.915386  0.00144668
           5   -0.912024   -0.914714  0.00130428
           6   -0.917536   -0.915184  0.00116865
           7   -0.916016   -0.915303  0.00100773
           8   -0.911736   -0.914857 0.000975418
           9   -0.916888   -0.915083 0.000892761
          10    -0.91612   -0.915186 0.000809489
          11   -0.906672   -0.914412  0.00104222
          12   -0.911976   -0.914209  0.00097494
          13   -0.907536   -0.913696  0.00102623
          14   -0.914048   -0.913721 0.000953233
          15   -0.916568   -0.913911 0.000908381
          16   -0.915384   -0.914003  0.00085626
          17   -0.913712   -0.913986 0.000806063
          18   -0.915368   -0.914063  0.00076493
          19   -0.916504   -0.914191 0.000735383
          20   -0.920392   -0.914501 0.000761171
          21   -0.910368   -0.914304 0.000749939
          22    -0.91416   -0.914298  0.00071588
          23   -0.910656   -0.914139 0.000702047
          24   -0.911128   -0.914014 0.000683917
          25    -0.91572   -0.914082 0.000659956
          26   -0.921848   -0.914381 0.000698902
          27   -0.914232   -0.914375 0.000673038
          28   -0.916288   -0.914444 0.000652458
          29    -0.91336   -0.914406 0.000631029
          30   -0.908736   -0.914217 0.000637674
          31     -0.9182   -0.914346 0.000629912
          32   -0.918968    -0.91449  0.00062657
          33   -0.911776   -0.914408 0.000612958
          34   -0.918016   -0.914514 0.000604045
          35   -0.916984   -0.914585 0.000590895
