#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
          18    0.415799     0.42035 0.000903248
          19    0.417894    0.420221 0.000864909
          20    0.419311    0.420175 0.000822859
          21    0.425194    0.420414 0.000817643
          22    0.413802    0.420114 0.000833887
          23    0.415843    0.419928 0.000818042
          24    0.418104    0.419852  0.00078748
          25    0.419193    0.419826 0.000756421
          26    0.427355    0.420115 0.000780801
          27    0.413191    0.419859 0.000792882
          28    0.420643    0.419887 0.000765058
          29    0.419997    0.419891 0.000738686
          30      0.4133    0.419671 0.000746015
          31    0.413004    0.419456 0.000752313
          32    0.426107    0.419664 0.000756973
          33     0.42066    0.419694 0.000734636
          34    0.419351    0.419684 0.000713098
          35    0.414791    0.419544 0.000706295
          36    0.426753    0.419744 0.000714496
          37    0.421732    0.419798 0.000697202
          38    0.421472    0.419842 0.000680246
          39    0.414509    0.419705  0.00067641
          40    0.417439    0.419649 0.000661869
          41    0.419956    0.419656 0.000645769
          42    0.415679    0.419562 0.000637299
          43    0.417955    0.419524 0.000623572
          44    0.424227    0.419631 0.000618492
          45    0.419595     0.41963 0.000604748
          46    0.416201    0.419556 0.000596179
          47    0.424537    0.419662 0.000592842
          48    0.421857    0.419707 0.000582252
          49    0.427324    0.419863 0.000590755
          50    0.415004    0.419766 0.000586879
           1    0.386928    0.386928           0
           2    0.392833    0.389881  0.00208771
           3    0.388833    0.389532  0.00142069
           4    0.384179    0.388193  0.00157429
           5    0.389005    0.388356  0.00126776
           6    0.393302     0.38918  0.00129708
           7     0.39195    0.389576  0.00117058
           8    0.392638    0.389958  0.00108506
           9    0.390103    0.389975 0.000964618
          10    0.389836    0.389961 0.000868256
          11     0.39087    0.390043 0.000793246
          12    0.391968    0.390204 0.000743176
          13    0.392322    0.390367 0.000703648
          14      0.3937    0.390605 0.000692511
          15    0.389899    0.390558 0.000647942
          16    0.387149    0.390345  0.00064151
          17    0.388494    0.390236 0.000612944
          18    0.384705    0.389928 0.000651381
          19    0.390614    0.389965 0.000618096
          20     0.38663    0.389798 0.000609265
          21    0.389161    0.389768 0.000581006
          22    0.390716    0.389811 0.000556195
          23    0.386454    0.389665 0.000550825
          24     0.38757    0.389577 0.000534742
          25    0.388246    0.389524 0.000515997
          26    0.385971    0.389388 0.000513932
          27     0.38845    0.389353 0.000496068
          28     0.38024    0.389027 0.000575283
          29    0.388025    0.388993 0.000556483
          30    0.386512     0.38891 0.000544041
          31     0.38855    0.388898 0.000526615
          32    0.386483    0.388823 0.000515541
          33    0.387568    0.388785 0.000501319
          34    0.391941    0.388878 0.000495095
          35    0.387614    0.388842 0.000482265
          36    0.388649    0.388836 0.000468898
          37    0.391171    0.388899 0.000460452
          38    0.392111    0.388984 0.000456023
          39     0.38957    0.388999 0.000444577
          40    0.385569    0.388913 0.000441656
          41    0.386302     0.38885 0.000435452
          42    0.387025    0.388806 0.000427244
          43    0.390068    0.388835 0.000418315
          44     0.39052    0.388874 0.000410555
          45    0.392085    0.388945 0.000407587
          46    0.393621    0.389047 0.000411208
          47    0.388591    0.389037 0.000402573
          48    0.385182    0.388957 0.000402119
          49     0.38863     0.38895 0.000393968
          50    0.389373    0.388959 0.000386179
           1     0.34865     0.34865           0
           2    0.349135    0.348892 0.000171462
           3    0.352759    0.350181  0.00105855
           4    0.348049    0.349648 0.000918331
           5    0.351229    0.349964 0.000787186
           6    0.351889    0.350285 0.000718377
           7    0.349529    0.350177 0.000623823
           8    0.353223    0.350558 0.000651735
           9    0.350713    0.350575 0.000579547
          10    0.353054    0.350823 0.000572157
          11    0.351194    0.350857 0.000521138
          12    0.350824    0.350854 0.000477717
          13     0.34854    0.350676 0.000472966
          14    0.350085    0.350634 0.000441061
          15    0.351647    0.350701 0.000416801
          16    0.349183    0.350606 0.000401406
          17    0.348942    0.350509 0.000389558
          18    0.351963    0.350589   0.0003762
          19    0.350286    0.350573 0.000356739
          20    0.348155    0.350452 0.000358808
          21    0.350842    0.350471 0.000342201
          22    0.349595    0.350431 0.000328954
          23    0.350066    0.350415 0.000315034
          24    0.353646     0.35055 0.000329417
          25    0.351652    0.350594 0.000319178
          26    0.352629    0.350672  0.00031635
          27    0.352369    0.350735 0.000310813
          28    0.349631    0.350696 0.000302202
