#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          19    0.213232    0.157711  0.00783568
          20    0.158308     0.15774  0.00744396
          21    0.176276    0.158623  0.00714162
          22    0.199512    0.160482   0.0070547
          23    0.163928    0.160631  0.00674957
          24    0.155496    0.160417  0.00647173
          25    0.127724     0.15911  0.00634361
          26     0.17298    0.159643  0.00612201
          27    0.196368    0.161003  0.00604449
          28    0.217352    0.163016  0.00615451
          29    0.205108    0.164467  0.00611104
          30     0.16276     0.16441  0.00590761
          31    0.152796    0.164036  0.00572891
          32    0.235996    0.166284  0.00597495
          33    0.171012    0.166428  0.00579561
          34    0.168684    0.166494  0.00562553
          35    0.164128    0.166427  0.00546521
          36    0.168436    0.166482  0.00531368
          37     0.21368    0.167758  0.00532098
          38    0.162932    0.167631  0.00518247
          39    0.164528    0.167551  0.00505019
          40    0.212248    0.168669  0.00504605
          41    0.144828    0.168087  0.00495636
          42    0.160248    0.167901  0.00484187
          43    0.203824    0.168736   0.0048008
          44     0.19386    0.169307  0.00472552
          45     0.18406    0.169635  0.00463187
          46    0.167316    0.169585  0.00453145
          47    0.191288    0.170046   0.0044585
          48    0.233112     0.17136   0.0045551
          49    0.134912    0.170616  0.00452246
          50     0.14244    0.170053  0.00446698
           1     0.11688     0.11688           0
           2    0.107168    0.112024  0.00343371
           3     0.12286    0.115636  0.00373334
           4    0.085028    0.107984  0.00719409
           5    0.127208    0.111829  0.00670441
           6    0.113116    0.112043  0.00559044
           7    0.097968    0.110033  0.00514072
           8     0.12006    0.111286  0.00464842
           9    0.118112    0.112044  0.00419335
          10    0.123192    0.113159  0.00391939
          11    0.070168    0.109251  0.00515574
          12    0.127868    0.110802  0.00495402
          13    0.124012    0.111818  0.00467599
          14    0.097976     0.11083   0.0044453
          15    0.101464    0.110205  0.00419257
          16    0.132752    0.111615  0.00416061
          17     0.11038    0.111542  0.00391651
          18      0.1165    0.111817   0.0037086
          19    0.099636    0.111176  0.00356839
          20     0.12162    0.111698  0.00342797
          21    0.084744    0.110415  0.00349679
          22    0.102324    0.110047  0.00335712
          23    0.116144    0.110312  0.00322161
          24    0.101336    0.109938  0.00310901
          25     0.12298     0.11046   0.0030281
          26    0.124268    0.110991  0.00295784
          27       0.104    0.110732   0.0028596
          28    0.089652    0.109979  0.00285486
          29    0.099436    0.109616  0.00277947
          30    0.115356    0.109807   0.0026934
          31     0.11678    0.110032  0.00261589
          32    0.069304    0.108759  0.00282686
          33    0.080608    0.107906  0.00286702
          34    0.128352    0.108507  0.00284507
          35    0.130824    0.109145  0.00283433
          36    0.099948     0.10889  0.00276709
          37    0.084112     0.10822  0.00277215
          38    0.141412    0.109093  0.00283347
          39    0.135824    0.109779  0.00284251
          40    0.127716    0.110227  0.00280659
          41    0.099244    0.109959  0.00275089
          42    0.110268    0.109967  0.00268541
          43    0.078496    0.109235  0.00272086
          44    0.121204    0.109507  0.00267259
          45    0.163472    0.110706  0.00286966
          46    0.141108    0.111367  0.00288238
          47    0.107028    0.111275  0.00282253
          48    0.082236     0.11067  0.00282782
          49    0.096192    0.110374   0.0027855
          50    0.132288    0.110812  0.00276406
           1    0.059308    0.059308           0
           2    0.080256    0.069782  0.00740624
           3    0.093328   0.0776307   0.0080899
           4    0.079624    0.078129  0.00608276
           5    0.069752   0.0764536  0.00509171
           6     0.10982   0.0820147  0.00661627
           7    0.080388   0.0817823  0.00567517
           8     0.08572   0.0822745  0.00498707
           9     0.08084   0.0821151   0.0044355
          10    0.068696   0.0807732  0.00419003
          11    0.064248   0.0792709  0.00406953
          12    0.105568   0.0814623  0.00427996
          13    0.091988    0.082272  0.00402659
          14    0.083288   0.0823446  0.00373963
          15      0.1113   0.0842749   0.0039573
          16     0.09034    0.084654  0.00372808
          17    0.108196   0.0860388  0.00375719
          18    0.068576   0.0850687  0.00367157
          19    0.064028   0.0839613  0.00364151
          20    0.072644   0.0833954  0.00350312
          21    0.074484    0.082971  0.00336191
          22    0.085172   0.0830711  0.00321059
          23    0.108308   0.0841683   0.0032531
          24    0.059876   0.0831562  0.00327123
          25    0.079432   0.0830072  0.00314377
          26    0.077348   0.0827895  0.00303038
          27    0.096336   0.0832913  0.00295939
          28       0.095   0.0837094  0.00288309
          29    0.093776   0.0840566  0.00280449
          30    0.042524   0.0826721  0.00303353
          31    0.081716   0.0826413  0.00293583
          32    0.058292   0.0818804  0.00294104
          33     0.05112   0.0809482  0.00299599
          34    0.078496   0.0808761  0.00290874
          35    0.061896   0.0803338  0.00287574
          36    0.076556   0.0802289  0.00279777
          37    0.075996   0.0801145   0.0027245
          38    0.070928   0.0798727   0.0026635
          39      0.0759   0.0797709  0.00259716
          40    0.066268   0.0794333  0.00255407
          41    0.092072   0.0797416  0.00251031
          42    0.085168   0.0798708  0.00245386
          43    0.110928    0.080593  0.00250083
          44    0.067012   0.0802844  0.00246297
          45    0.099732   0.0807165  0.00244586
          46    0.098116   0.0810948  0.00242176
          47     0.06636   0.0807813  0.00239044
          48     0.09044   0.0809825  0.00234909
          49    0.077736   0.0809162  0.00230209
          50    0.093248   0.0811629  0.00226922
           1    0.070736    0.070736           0
           2    0.065924     0.06833   0.0017013
           3    0.079312   0.0719907  0.00319688
           4    0.066976    0.070737  0.00263202
           5     0.05642   0.0678736  0.00331555
           6    0.048504   0.0646453  0.00403964
           7    0.043404   0.0616109  0.00445891
           8    0.054268    0.060693   0.0039949
           9    0.034972   0.0578351  0.00445755
          10     0.06746   0.0587976   0.0041144
          11    0.037272   0.0568407  0.00417989
          12    0.067064   0.0576927  0.00391743
          13    0.064656   0.0582283  0.00365252
          14    0.040436   0.0569574  0.00360596
          15    0.038976   0.0557587  0.00355924
          16    0.049004   0.0553365  0.00336173
          17    0.058372   0.0555151  0.00316872
          18    0.052464   0.0553456  0.00299721
          19    0.055032   0.0553291  0.00283951
          20    0.062256   0.0556754  0.00271858
          21    0.066708   0.0562008   0.0026394
          22    0.072112    0.056924  0.00261664
          23    0.042936   0.0563158  0.00257258
          24    0.049772   0.0560432  0.00247979
          25    0.058488    0.056141  0.00238253
          26    0.046544   0.0557718  0.00231931
          27    0.064836   0.0561076  0.00225757
          28    0.071244   0.0566481  0.00224074
          29    0.043836   0.0562063  0.00220659
          30    0.065136    0.056504  0.00215302
          31    0.060644   0.0566375  0.00208771
          32    0.051236   0.0564688  0.00202928
          33    0.060416   0.0565884  0.00197131
          34    0.042364     0.05617  0.00195722
