#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          29     8.92482     8.72846   0.0795669
          30     8.98323     8.73696   0.0773666
          31     9.23965     8.75317   0.0765514
          32     8.14251     8.73409   0.0765008
          33     8.67514      8.7323   0.0742035
          34     8.95679     8.73891   0.0723141
          35      8.5419     8.73328   0.0704667
          36     9.15691     8.74504   0.0694849
          37     9.17349     8.75662   0.0685651
          38     8.26648     8.74373   0.0679631
          39     8.74118     8.74366   0.0662205
          40     8.30706     8.73275   0.0654584
          41     8.48609     8.72673   0.0641377
          42     8.22165      8.7147    0.063728
          43     9.03745     8.72221   0.0626864
          44     8.35816     8.71394   0.0618053
          45     9.27522     8.72641   0.0616776
          46     8.48932     8.72125   0.0605518
          47     8.63719     8.71947   0.0592899
          48     8.64671     8.71795    0.058074
          49     8.14265     8.70621   0.0580635
          50     8.82264     8.70854   0.0569489
           1     5.70004     5.70004           0
           2     5.59313     5.64659   0.0378006
           3      5.6875     5.66022   0.0275509
           4     5.57099     5.63791   0.0282881
           5     5.87288     5.68491    0.047737
           6     5.60778     5.67205   0.0414754
           7     5.46342     5.64225   0.0450029
           8      5.8073     5.66288   0.0438526
           9     5.90615     5.68991    0.046571
          10     5.77751     5.69867   0.0427298
          11     5.44444     5.67556   0.0446602
          12     5.57082     5.66683   0.0417827
          13     5.58646     5.66065   0.0390233
          14     5.53823      5.6519   0.0372028
          15     5.73865     5.65769   0.0351692
          16     5.33348     5.63742    0.038367
          17     6.17105     5.66881   0.0472368
          18     5.83847     5.67824   0.0455432
          19     5.34159     5.66052   0.0464651
          20     5.88414      5.6717   0.0454672
          21     5.27703     5.65291   0.0470261
          22     5.58323     5.64974   0.0449951
          23     6.28993     5.67757   0.0509254
          24     5.94933      5.6889   0.0500465
          25      5.3854     5.67676   0.0494951
          26     5.80583     5.68172   0.0478398
          27     5.78849     5.68568   0.0462311
          28     6.32345     5.70845   0.0498765
          29      5.8566     5.71356   0.0484175
          30     5.73551     5.71429   0.0468091
          31     5.66025     5.71255   0.0453316
          32     5.63364     5.71008    0.043982
          33      5.5488      5.7052   0.0429199
          34     5.18118     5.68979   0.0443385
          35     5.61796     5.68773   0.0431192
          36     5.67095     5.68727   0.0419239
          37     5.34455       5.678   0.0418016
          38     5.59642     5.67586   0.0407566
          39     5.98978     5.68391   0.0404986
          40     5.87923     5.68879   0.0397795
          41     6.04117     5.69738   0.0397269
          42     5.64553     5.69615   0.0388002
          43     5.61132     5.69418   0.0379479
          44     5.33539     5.68602   0.0379515
          45     5.29606     5.67736   0.0380847
          46     5.96102     5.68352   0.0377527
          47     5.72951      5.6845   0.0369621
          48     5.55558     5.68182   0.0362895
          49     5.76287     5.68347   0.0355866
          50     5.71959     5.68419   0.0348822
           1     3.91144     3.91144           0
           2     3.91854     3.91499  0.00251164
           3     3.81336     3.88111   0.0277096
           4     3.91311     3.88911   0.0219062
           5      4.0592     3.92313   0.0351124
           6     3.95158     3.92787   0.0295789
           7     4.11815     3.95505    0.035723
           8     3.90074     3.94826   0.0318963
           9     4.13553     3.96907   0.0344772
          10     3.74336      3.9465   0.0377006
          11     3.95848     3.94759    0.034289
          12     3.88959     3.94276   0.0317705
          13     3.96897     3.94477   0.0293905
          14     4.06525     3.95338   0.0285233
          15     3.92344     3.95138   0.0266915
          16     4.43785     3.98179   0.0386368
          17     4.06748     3.98683   0.0366914
          18     3.73108     3.97262   0.0373025
          19     3.99113     3.97359    0.035352
          20     4.01773      3.9758   0.0336532
          21     3.93104     3.97367   0.0321181
          22      4.0152     3.97556   0.0307136
          23     3.82328     3.96894   0.0300833
          24     3.87448       3.965   0.0290862
          25     3.78805     3.95792    0.028771
          26     3.95101     3.95766   0.0276657
          27     3.98276     3.95859   0.0266566
          28     4.10578     3.96384   0.0262178
          29     3.83685     3.95946   0.0256769
          30     3.92525     3.95832   0.0248463
          31     3.79258     3.95298   0.0246133
          32     4.28185     3.96325   0.0259011
          33     3.71268     3.95566   0.0262055
          34     3.97961     3.95637   0.0254443
          35     3.78561     3.95149   0.0251806
          36     4.12215     3.95623   0.0249234
          37     4.22472     3.96348   0.0252842
          38     3.76371     3.95823   0.0251595
          39     4.05757     3.96077   0.0246429
          40     3.92305     3.95983   0.0240449
          41      3.8876     3.95807   0.0235229
          42     4.14422      3.9625   0.0233766
          43     3.82364     3.95927    0.023055
          44     4.17245     3.96412   0.0230345
          45     3.87203     3.96207   0.0226133
          46     3.99159     3.96271   0.0221308
          47     3.73551     3.95788   0.0221816
          48     3.96067     3.95794   0.0217196
          49     3.90884     3.95693   0.0212994
          50     3.79557     3.95371   0.0211165
           1     2.82442     2.82442           0
           2     3.05029     2.93735   0.0798586
           3     3.13231     3.00234   0.0751659
           4     2.84894     2.96399   0.0654307
           5     3.01028     2.97325   0.0529955
           6     3.01127     2.97958   0.0445401
           7       2.935     2.97322     0.03863
           8     3.04991      2.9828   0.0349705
           9     3.04209     2.98939   0.0316992
          10       2.965     2.98695    0.028623
          11     2.89598     2.97868   0.0271893
          12     2.99927      2.9804   0.0249776
          13      3.1247      2.9915   0.0254034
          14     2.96131     2.98934   0.0236802
          15      3.0104     2.99074   0.0221431
          16     3.05778     2.99493   0.0211519
          17     2.91969     2.99051   0.0203655
          18     3.12869     2.99819   0.0206302
          19     2.94799     2.99554   0.0197128
          20     2.92857     2.99219   0.0190095
          21     2.96413     2.99086   0.0181512
          22     2.85011     2.98446   0.0184191
          23     2.97469     2.98404   0.0176231
          24      2.9723     2.98355   0.0168956
