# qui scrivo tutti i valori che mi interessano: 
0.1  10.7771 0.292694 0.548167 2
1  -0.272526 0.0108745 0.6615 0.666667
10  -0.29914 0.0109557 0.6405 0.222222
20  -0.425188 0.00298193 0.784667 0.0740741
50  -0.427498 0.00260404 0.852 0.0246914
100  -0.431722 0.00253396 0.8465 0.00823045
200  -0.426596 0.00239362 0.738167 0.00274348
500  -0.444578 0.00208138 0.592833 0.000914495
